"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Lamar County, MS","County or equivalent",55658,404,92,174,82,306,7,299,6
"Perry County, MS","County or equivalent",12250,7,19,34,15,-12,0,-12,0
"Hickory-Lenoir-Morganton, NC","Metropolitan Statistical Area",365497,-159,91,968,877,-245,131,-376,-5
"Alexander County, NC","County or equivalent",37198,34,5,92,87,30,12,18,-1
"Burke County, NC","County or equivalent",90912,-164,-5,215,220,-158,30,-188,-1
"Caldwell County, NC","County or equivalent",83029,-17,-6,206,212,-7,9,-16,-4
"Catawba County, NC","County or equivalent",154358,-12,97,455,358,-110,80,-190,1
"Hinesville-Fort Stewart, GA","Metropolitan Statistical Area",77917,-531,298,359,61,-869,175,-1044,40
"Liberty County, GA","County or equivalent",63453,-719,271,326,55,-1026,156,-1182,36
"Long County, GA","County or equivalent",14464,188,27,33,6,157,19,138,4
"Holland-Grand Haven, MI","Metropolitan Statistical Area",263801,264,420,811,391,-156,66,-222,0
"Ottawa County, MI","County or equivalent",263801,264,420,811,391,-156,66,-222,0
"Honolulu, HI","Metropolitan Statistical Area",953207,2429,1704,3320,1616,760,1244,-484,-35
"Honolulu County, HI","County or equivalent",953207,2429,1704,3320,1616,760,1244,-484,-35
"Hot Springs, AR","Metropolitan Statistical Area",96024,196,-10,280,290,208,28,180,-2
"Garland County, AR","County or equivalent",96024,196,-10,280,290,208,28,180,-2
"Houma-Bayou Cane-Thibodaux, LA","Metropolitan Statistical Area",208178,76,315,727,412,-239,29,-268,0
"Lafourche Parish, LA","County or equivalent",96318,62,138,320,182,-74,17,-91,-2
"Terrebonne Parish, LA","County or equivalent",111860,14,177,407,230,-165,12,-177,2
"Houston-Sugar Land-Baytown, TX","Metropolitan Statistical Area",5946800,29631,15770,23999,8229,13655,5911,7744,206
"Austin County, TX","County or equivalent",28417,17,14,92,78,4,13,-9,-1
"Brazoria County, TX","County or equivalent",313166,1469,732,1219,487,731,137,594,6
"Chambers County, TX","County or equivalent",35096,219,57,119,62,157,5,152,5
"Fort Bend County, TX","County or equivalent",585375,5494,1358,1970,612,4032,526,3506,104
"Galveston County, TX","County or equivalent",291309,1395,467,1034,567,909,158,751,19
"Harris County, TX","County or equivalent",4092459,16920,12084,17515,5431,4820,4629,191,16
"Liberty County, TX","County or equivalent",75643,264,117,276,159,145,40,105,2
"Montgomery County, TX","County or equivalent",455746,3544,847,1555,708,2646,357,2289,51
"San Jacinto County, TX","County or equivalent",26384,82,10,70,60,71,4,67,1
"Waller County, TX","County or equivalent",43205,227,84,149,65,140,42,98,3
"Huntington-Ashland, WV-KY-OH","Metropolitan Statistical Area",287702,36,-11,810,821,57,25,32,-10
"Boyd County, KY","County or equivalent",49542,75,-7,143,150,81,5,76,1
"Greenup County, KY","County or equivalent",36910,-7,-28,88,116,24,1,23,-3
"Lawrence County, OH","County or equivalent",62450,-33,0,175,175,-31,0,-31,-2
"Cabell County, WV","County or equivalent",96319,72,52,308,256,24,18,6,-4
"Wayne County, WV","County or equivalent",42481,-71,-28,96,124,-41,1,-42,-2
"Huntsville, AL","Metropolitan Statistical Area",417593,1787,484,1262,778,1281,135,1146,22
"Limestone County, AL","County or equivalent",82782,457,88,242,154,361,18,343,8
"Madison County, AL","County or equivalent",334811,1330,396,1020,624,920,117,803,14
"Idaho Falls, ID","Metropolitan Statistical Area",130374,463,437,630,193,29,29,0,-3
"Bonneville County, ID","County or equivalent",104234,388,335,505,170,56,29,27,-3
"Jefferson County, ID","County or equivalent",26140,75,102,125,23,-27,0,-27,0
"Indianapolis-Carmel, IN","Metropolitan Statistical Area",1756241,4585,3279,6475,3196,1262,771,491,44
"Boone County, IN","County or equivalent",56640,187,69,182,113,117,4,113,1
