"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Gibson County, TN","County or equivalent",49683,18,-6,144,150,25,3,22,-1
"Huntingdon, PA","Micropolitan Statistical Area",45913,148,-4,109,113,149,2,147,3
"Huntingdon County, PA","County or equivalent",45913,148,-4,109,113,149,2,147,3
"Huntington, IN","Micropolitan Statistical Area",37124,-19,-4,104,108,-14,1,-15,-1
"Huntington County, IN","County or equivalent",37124,-19,-4,104,108,-14,1,-15,-1
"Huntsville, TX","Micropolitan Statistical Area",67861,227,44,172,128,178,14,164,5
"Walker County, TX","County or equivalent",67861,227,44,172,128,178,14,164,5
"Huron, SD","Micropolitan Statistical Area",17398,19,18,64,46,2,4,-2,-1
"Beadle County, SD","County or equivalent",17398,19,18,64,46,2,4,-2,-1
"Hutchinson, KS","Micropolitan Statistical Area",64511,65,9,188,179,59,6,53,-3
"Reno County, KS","County or equivalent",64511,65,9,188,179,59,6,53,-3
"Hutchinson, MN","Micropolitan Statistical Area",36651,-26,17,110,93,-42,6,-48,-1
"McLeod County, MN","County or equivalent",36651,-26,17,110,93,-42,6,-48,-1
"Indiana, PA","Micropolitan Statistical Area",88880,639,7,223,216,617,13,604,15
"Indiana County, PA","County or equivalent",88880,639,7,223,216,617,13,604,15
"Indianola, MS","Micropolitan Statistical Area",29450,-26,36,95,59,-63,0,-63,1
"Sunflower County, MS","County or equivalent",29450,-26,36,95,59,-63,0,-63,1
"Iron Mountain, MI-WI","Micropolitan Statistical Area",30591,-46,-23,65,88,-21,3,-24,-2
"Dickinson County, MI","County or equivalent",26168,-34,-26,57,83,-6,3,-9,-2
"Florence County, WI","County or equivalent",4423,-12,3,8,5,-15,0,-15,0
"Jackson, WY-ID","Micropolitan Statistical Area",31464,14,103,113,10,-91,22,-113,2
"Teton County, ID","County or equivalent",10170,-5,38,40,2,-44,2,-46,1
"Teton County, WY","County or equivalent",21294,19,65,73,8,-47,20,-67,1
"Jacksonville, IL","Micropolitan Statistical Area",40902,-27,4,103,99,-29,0,-29,-2
"Morgan County, IL","County or equivalent",35547,-23,-5,87,92,-17,0,-17,-1
"Scott County, IL","County or equivalent",5355,-4,9,16,7,-12,0,-12,-1
"Jacksonville, TX","Micropolitan Statistical Area",50845,60,66,186,120,-4,15,-19,-2
"Cherokee County, TX","County or equivalent",50845,60,66,186,120,-4,15,-19,-2
"Jamestown, ND","Micropolitan Statistical Area",21100,6,-9,52,61,16,2,14,-1
"Stutsman County, ND","County or equivalent",21100,6,-9,52,61,16,2,14,-1
"Jamestown-Dunkirk-Fredonia, NY","Micropolitan Statistical Area",134905,-92,31,366,335,-120,16,-136,-3
"Chautauqua County, NY","County or equivalent",134905,-92,31,366,335,-120,16,-136,-3
"Jasper, IN","Micropolitan Statistical Area",54734,-3,23,156,133,-24,8,-32,-2
"Dubois County, IN","County or equivalent",41889,-5,28,122,94,-32,8,-40,-1
"Pike County, IN","County or equivalent",12845,2,-5,34,39,8,0,8,-1
"Jennings, LA","Micropolitan Statistical Area",31594,33,19,111,92,15,0,15,-1
"Jefferson Davis Parish, LA","County or equivalent",31594,33,19,111,92,15,0,15,-1
"Jesup, GA","Micropolitan Statistical Area",30099,33,30,108,78,4,8,-4,-1
"Wayne County, GA","County or equivalent",30099,33,30,108,78,4,8,-4,-1
"Juneau, AK","Micropolitan Statistical Area",31275,134,71,95,24,62,13,49,1
"Juneau City and Borough, AK","County or equivalent",31275,134,71,95,24,62,13,49,1
"Kahului-Wailuku, HI","Micropolitan Statistical Area",154834,201,272,490,218,-72,145,-217,1
"Maui County, HI","County or equivalent",154834,201,272,490,218,-72,145,-217,1
"Kalispell, MT","Micropolitan Statistical Area",90928,-57,83,270,187,-141,4,-145,1
"Flathead County, MT","County or equivalent",90928,-57,83,270,187,-141,4,-145,1
"Kapaa, HI","Micropolitan Statistical Area",67091,126,93,200,107,36,49,-13,-3
"Kauai County, HI","County or equivalent",67091,126,93,200,107,36,49,-13,-3
"Kearney, NE","Micropolitan Statistical Area",52591,52,82,181,99,-28,9,-37,-2
"Buffalo County, NE","County or equivalent",46102,44,70,161,91,-25,9,-34,-1
"Kearney County, NE","County or equivalent",6489,8,12,20,8,-3,0,-3,-1
"Keene, NH","Micropolitan Statistical Area",77117,-47,38,181,143,-84,9,-93,-1
"Cheshire County, NH","County or equivalent",77117,-47,38,181,143,-84,9,-93,-1
"Kendallville, IN","Micropolitan Statistical Area",47536,-31,50,156,106,-82,8,-90,1
"Noble County, IN","County or equivalent",47536,-31,50,156,106,-82,8,-90,1
"Kennett, MO","Micropolitan Statistical Area",31953,-40,-11,106,117,-28,3,-31,-1
"Dunklin County, MO","County or equivalent",31953,-40,-11,106,117,-28,3,-31,-1
"Kerrville, TX","Micropolitan Statistical Area",49625,45,-8,146,154,58,13,45,-5
"Kerr County, TX","County or equivalent",49625,45,-8,146,154,58,13,45,-5
"Ketchikan, AK","Micropolitan Statistical Area",13477,54,36,44,8,17,4,13,1
"Ketchikan Gateway Borough, AK","County or equivalent",13477,54,36,44,8,17,4,13,1
"Key West, FL","Micropolitan Statistical Area",73090,114,7,167,160,110,81,29,-3
"Monroe County, FL","County or equivalent",73090,114,7,167,160,110,81,29,-3
"Kill Devil Hills, NC","Micropolitan Statistical Area",33920,96,19,89,70,77,16,61,0
"Dare County, NC","County or equivalent",33920,96,19,89,70,77,16,61,0
"Kingsville, TX","Micropolitan Statistical Area",32477,61,75,136,61,-15,28,-43,1
"Kenedy County, TX","County or equivalent",416,3,1,1,0,2,0,2,0
"Kleberg County, TX","County or equivalent",32061,58,74,135,61,-17,28,-45,1
"Kinston, NC","Micropolitan Statistical Area",59495,-97,-49,166,215,-47,18,-65,-1
"Lenoir County, NC","County or equivalent",59495,-97,-49,166,215,-47,18,-65,-1
"Kirksville, MO","Micropolitan Statistical Area",30038,-5,24,77,53,-29,3,-32,0
"Adair County, MO","County or equivalent",25607,-15,12,61,49,-27,3,-30,0
"Schuyler County, MO","County or equivalent",4431,10,12,16,4,-2,0,-2,0
"Klamath Falls, OR","Micropolitan Statistical Area",66380,-52,12,197,185,-64,15,-79,0
"Klamath County, OR","County or equivalent",66380,-52,12,197,185,-64,15,-79,0
"Kodiak, AK","Micropolitan Statistical Area",13592,48,55,58,3,-7,35,-42,0
"Kodiak Island Borough, AK","County or equivalent",13592,48,55,58,3,-7,35,-42,0
"Laconia, NH","Micropolitan Statistical Area",60088,-1,-16,146,162,19,12,7,-4
"Belknap County, NH","County or equivalent",60088,-1,-16,146,162,19,12,7,-4
"La Follette, TN","Micropolitan Statistical Area",40716,-41,-44,103,147,6,2,4,-3
"Campbell County, TN","County or equivalent",40716,-41,-44,103,147,6,2,4,-3
"La Grande, OR","Micropolitan Statistical Area",25748,10,0,77,77,11,8,3,-1
"Union County, OR","County or equivalent",25748,10,0,77,77,11,8,3,-1
"LaGrange, GA","Micropolitan Statistical Area",67044,126,58,222,164,68,10,58,0
"Troup County, GA","County or equivalent",67044,126,58,222,164,68,10,58,0
"Lake City, FL","Micropolitan Statistical Area",67531,85,35,195,160,52,22,30,-2
"Columbia County, FL","County or equivalent",67531,85,35,195,160,52,22,30,-2
"Lamesa, TX","Micropolitan Statistical Area",13833,29,28,49,21,2,4,-2,-1
"Dawson County, TX","County or equivalent",13833,29,28,49,21,2,4,-2,-1
"Lancaster, SC","Micropolitan Statistical Area",76652,310,44,224,180,270,20,250,-4
"Lancaster County, SC","County or equivalent",76652,310,44,224,180,270,20,250,-4
"Laramie, WY","Micropolitan Statistical Area",36299,145,70,108,38,74,23,51,1
"Albany County, WY","County or equivalent",36299,145,70,108,38,74,23,51,1
"Las Vegas, NM","Micropolitan Statistical Area",29393,-24,14,81,67,-38,1,-39,0
"San Miguel County, NM","County or equivalent",29393,-24,14,81,67,-38,1,-39,0
"Laurel, MS","Micropolitan Statistical Area",84823,45,95,297,202,-49,36,-85,-1
"Jasper County, MS","County or equivalent",17062,-81,34,50,16,-116,0,-116,1
"Jones County, MS","County or equivalent",67761,126,61,247,186,67,36,31,-2
"Laurinburg, NC","Micropolitan Statistical Area",36157,-58,35,118,83,-95,6,-101,2
"Scotland County, NC","County or equivalent",36157,-58,35,118,83,-95,6,-101,2
"Lawrenceburg, TN","Micropolitan Statistical Area",41869,148,16,136,120,130,1,129,2
"Lawrence County, TN","County or equivalent",41869,148,16,136,120,130,1,129,2
"Lebanon, MO","Micropolitan Statistical Area",35571,63,12,104,92,50,0,50,1
"Laclede County, MO","County or equivalent",35571,63,12,104,92,50,0,50,1
"Lebanon, NH-VT","Micropolitan Statistical Area",174724,-5,37,378,341,-32,41,-73,-10
"Grafton County, NH","County or equivalent",89118,4,31,187,156,-22,33,-55,-5
"Orange County, VT","County or equivalent",28936,18,3,63,60,17,2,15,-2
"Windsor County, VT","County or equivalent",56670,-27,3,128,125,-27,6,-33,-3
"Levelland, TX","Micropolitan Statistical Area",22935,-71,37,80,43,-111,3,-114,3
"Hockley County, TX","County or equivalent",22935,-71,37,80,43,-111,3,-114,3
"Lewisburg, PA","Micropolitan Statistical Area",44947,-133,-2,94,96,-133,6,-139,2
"Union County, PA","County or equivalent",44947,-133,-2,94,96,-133,6,-139,2
"Lewisburg, TN","Micropolitan Statistical Area",30617,47,0,88,88,49,9,40,-2
"Marshall County, TN","County or equivalent",30617,47,0,88,88,49,9,40,-2
"Lewistown, PA","Micropolitan Statistical Area",46682,2,1,140,139,4,1,3,-3
"Mifflin County, PA","County or equivalent",46682,2,1,140,139,4,1,3,-3
"Lexington, NE","Micropolitan Statistical Area",26370,45,46,98,52,-2,24,-26,1
"Dawson County, NE","County or equivalent",24326,39,44,94,50,-6,24,-30,1
"Gosper County, NE","County or equivalent",2044,6,2,4,2,4,0,4,0
"Lexington Park, MD","Micropolitan Statistical Area",105151,598,192,355,163,396,46,350,10
"St. Mary's County, MD","County or equivalent",105151,598,192,355,163,396,46,350,10
"Liberal, KS","Micropolitan Statistical Area",22952,71,99,114,15,-29,37,-66,1
"Seward County, KS","County or equivalent",22952,71,99,114,15,-29,37,-66,1
"Lincoln, IL","Micropolitan Statistical Area",30305,-33,-7,74,81,-26,1,-27,0
"Logan County, IL","County or equivalent",30305,-33,-7,74,81,-26,1,-27,0
"Lincolnton, NC","Micropolitan Statistical Area",78265,125,17,189,172,109,23,86,-1
"Lincoln County, NC","County or equivalent",78265,125,17,189,172,109,23,86,-1
"Lock Haven, PA","Micropolitan Statistical Area",39238,-262,5,98,93,-273,2,-275,6
"Clinton County, PA","County or equivalent",39238,-262,5,98,93,-273,2,-275,6
"Logansport, IN","Micropolitan Statistical Area",38966,-9,25,134,109,-33,17,-50,-1
"Cass County, IN","County or equivalent",38966,-9,25,134,109,-33,17,-50,-1
"London, KY","Micropolitan Statistical Area",58849,151,40,178,138,109,7,102,2
"Laurel County, KY","County or equivalent",58849,151,40,178,138,109,7,102,2
"Los Alamos, NM","Micropolitan Statistical Area",17950,81,23,41,18,57,13,44,1
"Los Alamos County, NM","County or equivalent",17950,81,23,41,18,57,13,44,1
"Lufkin, TX","Micropolitan Statistical Area",86771,215,127,320,193,90,40,50,-2
"Angelina County, TX","County or equivalent",86771,215,127,320,193,90,40,50,-2
"Lumberton, NC","Micropolitan Statistical Area",134168,309,185,501,316,125,76,49,-1
"Robeson County, NC","County or equivalent",134168,309,185,501,316,125,76,49,-1
"Macomb, IL","Micropolitan Statistical Area",32612,2,-4,73,77,8,11,-3,-2
"McDonough County, IL","County or equivalent",32612,2,-4,73,77,8,11,-3,-2
"Madison, IN","Micropolitan Statistical Area",32428,-63,-2,97,99,-61,4,-65,0
"Jefferson County, IN","County or equivalent",32428,-63,-2,97,99,-61,4,-65,0
"Madisonville, KY","Micropolitan Statistical Area",46920,-28,-8,136,144,-18,2,-20,-2
"Hopkins County, KY","County or equivalent",46920,-28,-8,136,144,-18,2,-20,-2
"Magnolia, AR","Micropolitan Statistical Area",24552,-54,-5,62,67,-48,1,-49,-1
"Columbia County, AR","County or equivalent",24552,-54,-5,62,67,-48,1,-49,-1
"Malone, NY","Micropolitan Statistical Area",51599,7,18,129,111,-10,10,-20,-1
"Franklin County, NY","County or equivalent",51599,7,18,129,111,-10,10,-20,-1
"Manitowoc, WI","Micropolitan Statistical Area",81442,-108,11,201,190,-117,8,-125,-2
"Manitowoc County, WI","County or equivalent",81442,-108,11,201,190,-117,8,-125,-2
"Marble Falls, TX","Micropolitan Statistical Area",42750,49,13,117,104,38,8,30,-2
"Burnet County, TX","County or equivalent",42750,49,13,117,104,38,8,30,-2
"Marinette, WI-MI","Micropolitan Statistical Area",65778,-46,-29,147,176,-11,4,-15,-6
"Menominee County, MI","County or equivalent",24029,-28,-11,50,61,-16,3,-19,-1
"Marinette County, WI","County or equivalent",41749,-18,-18,97,115,5,1,4,-5
"Marion, IN","Micropolitan Statistical Area",70061,-58,9,206,197,-65,7,-72,-2
"Grant County, IN","County or equivalent",70061,-58,9,206,197,-65,7,-72,-2
"Marion, OH","Micropolitan Statistical Area",66501,-24,31,206,175,-54,5,-59,-1
"Marion County, OH","County or equivalent",66501,-24,31,206,175,-54,5,-59,-1
"Marion-Herrin, IL","Micropolitan Statistical Area",66357,35,-2,182,184,39,3,36,-2
"Williamson County, IL","County or equivalent",66357,35,-2,182,184,39,3,36,-2
"Marquette, MI","Micropolitan Statistical Area",67077,87,25,178,153,63,7,56,-1
"Marquette County, MI","County or equivalent",67077,87,25,178,153,63,7,56,-1
"Marshall, MN","Micropolitan Statistical Area",25857,14,30,90,60,-14,8,-22,-2
"Lyon County, MN","County or equivalent",25857,14,30,90,60,-14,8,-22,-2
"Marshall, MO","Micropolitan Statistical Area",23370,24,11,76,65,13,6,7,0
"Saline County, MO","County or equivalent",23370,24,11,76,65,13,6,7,0
"Marshall, TX","Micropolitan Statistical Area",65631,115,77,216,139,42,40,2,-4
"Harrison County, TX","County or equivalent",65631,115,77,216,139,42,40,2,-4
"Marshalltown, IA","Micropolitan Statistical Area",40648,58,24,132,108,37,37,0,-3
"Marshall County, IA","County or equivalent",40648,58,24,132,108,37,37,0,-3
"Marshfield-Wisconsin Rapids, WI","Micropolitan Statistical Area",74749,58,60,237,177,1,5,-4,-3
"Wood County, WI","County or equivalent",74749,58,60,237,177,1,5,-4,-3
"Martin, TN","Micropolitan Statistical Area",35021,-13,-5,98,103,-7,3,-10,-1
"Weakley County, TN","County or equivalent",35021,-13,-5,98,103,-7,3,-10,-1
"Martinsville, VA","Micropolitan Statistical Area",67972,-98,-21,170,191,-72,30,-102,-5
"Henry County, VA","County or equivalent",54151,-32,-37,118,155,9,28,-19,-4
"Martinsville city, VA","County or equivalent",13821,-66,16,52,36,-81,2,-83,-1
"Maryville, MO","Micropolitan Statistical Area",23370,13,21,65,44,-7,5,-12,-1
"Nodaway County, MO","County or equivalent",23370,13,21,65,44,-7,5,-12,-1
"Mason City, IA","Micropolitan Statistical Area",51749,-57,1,140,139,-57,6,-63,-1
"Cerro Gordo County, IA","County or equivalent",44151,-44,-7,123,130,-36,6,-42,-1
"Worth County, IA","County or equivalent",7598,-13,8,17,9,-21,0,-21,0
"Mayfield, KY","Micropolitan Statistical Area",37121,74,13,126,113,62,18,44,-1
"Graves County, KY","County or equivalent",37121,74,13,126,113,62,18,44,-1
"Maysville, KY","Micropolitan Statistical Area",31360,18,12,98,86,8,3,5,-2
"Lewis County, KY","County or equivalent",13870,-1,6,41,35,-7,0,-7,0
"Mason County, KY","County or equivalent",17490,19,6,57,51,15,3,12,-2
"McAlester, OK","Micropolitan Statistical Area",45837,-49,0,136,136,-45,7,-52,-4
"Pittsburg County, OK","County or equivalent",45837,-49,0,136,136,-45,7,-52,-4
"McComb, MS","Micropolitan Statistical Area",53535,-25,11,168,157,-33,1,-34,-3
"Amite County, MS","County or equivalent",13131,-20,9,29,20,-27,0,-27,-2
"Pike County, MS","County or equivalent",40404,-5,2,139,137,-6,1,-7,-1
"McMinnville, TN","Micropolitan Statistical Area",39839,18,1,119,118,19,10,9,-2
"Warren County, TN","County or equivalent",39839,18,1,119,118,19,10,9,-2
"McPherson, KS","Micropolitan Statistical Area",29180,-37,-24,71,95,-11,1,-12,-2
"McPherson County, KS","County or equivalent",29180,-37,-24,71,95,-11,1,-12,-2
"Meadville, PA","Micropolitan Statistical Area",88765,176,0,235,235,175,3,172,1
"Crawford County, PA","County or equivalent",88765,176,0,235,235,175,3,172,1
"Menomonie, WI","Micropolitan Statistical Area",43857,58,45,113,68,14,1,13,-1
"Dunn County, WI","County or equivalent",43857,58,45,113,68,14,1,13,-1
"Meridian, MS","Micropolitan Statistical Area",107449,-82,54,324,270,-134,27,-161,-2
"Clarke County, MS","County or equivalent",16732,17,14,47,33,5,0,5,-2
"Kemper County, MS","County or equivalent",10456,-38,12,23,11,-50,1,-51,0
"Lauderdale County, MS","County or equivalent",80261,-61,28,254,226,-89,26,-115,0
"Merrill, WI","Micropolitan Statistical Area",28743,28,14,80,66,15,3,12,-1
"Lincoln County, WI","County or equivalent",28743,28,14,80,66,15,3,12,-1
"Mexico, MO","Micropolitan Statistical Area",25529,-42,7,94,87,-49,3,-52,0
"Audrain County, MO","County or equivalent",25529,-42,7,94,87,-49,3,-52,0
"Miami, OK","Micropolitan Statistical Area",31848,3,12,118,106,-8,2,-10,-1
"Ottawa County, OK","County or equivalent",31848,3,12,118,106,-8,2,-10,-1
"Middlesborough, KY","Micropolitan Statistical Area",28691,9,-20,88,108,29,1,28,0
"Bell County, KY","County or equivalent",28691,9,-20,88,108,29,1,28,0
"Midland, MI","Micropolitan Statistical Area",83629,5,51,217,166,-45,23,-68,-1
"Midland County, MI","County or equivalent",83629,5,51,217,166,-45,23,-68,-1
"Milledgeville, GA","Micropolitan Statistical Area",55149,-650,36,142,106,-704,7,-711,18
"Baldwin County, GA","County or equivalent",45720,-690,20,120,100,-727,7,-734,17
"Hancock County, GA","County or equivalent",9429,40,16,22,6,23,0,23,1
"Minden, LA","Micropolitan Statistical Area",41207,36,3,125,122,35,3,32,-2
"Webster Parish, LA","County or equivalent",41207,36,3,125,122,35,3,32,-2
"Mineral Wells, TX","Micropolitan Statistical Area",28111,-6,9,94,85,-15,13,-28,0
"Palo Pinto County, TX","County or equivalent",28111,-6,9,94,85,-15,13,-28,0
"Minot, ND","Micropolitan Statistical Area",69540,414,141,291,150,269,48,221,4
"McHenry County, ND","County or equivalent",5395,2,3,13,10,0,0,0,-1
"Renville County, ND","County or equivalent",2470,6,3,8,5,3,0,3,0
"Ward County, ND","County or equivalent",61675,406,135,270,135,266,48,218,5
"Mitchell, SD","Micropolitan Statistical Area",22835,34,46,83,37,-10,1,-11,-2
"Davison County, SD","County or equivalent",19504,28,37,72,35,-8,1,-9,-1
"Hanson County, SD","County or equivalent",3331,6,9,11,2,-2,0,-2,-1
"Moberly, MO","Micropolitan Statistical Area",25414,9,11,79,68,0,3,-3,-2
"Randolph County, MO","County or equivalent",25414,9,11,79,68,0,3,-3,-2
"Monroe, WI","Micropolitan Statistical Area",36842,30,17,103,86,15,3,12,-2
"Green County, WI","County or equivalent",36842,30,17,103,86,15,3,12,-2
"Montrose, CO","Micropolitan Statistical Area",41276,-92,20,121,101,-113,20,-133,1
"Montrose County, CO","County or equivalent",41276,-92,20,121,101,-113,20,-133,1
"Morehead City, NC","Micropolitan Statistical Area",66469,247,-17,156,173,261,22,239,3
"Carteret County, NC","County or equivalent",66469,247,-17,156,173,261,22,239,3
"Morgan City, LA","Micropolitan Statistical Area",54650,-67,67,190,123,-134,16,-150,0
"St. Mary Parish, LA","County or equivalent",54650,-67,67,190,123,-134,16,-150,0
"Moscow, ID","Micropolitan Statistical Area",37244,70,68,116,48,3,14,-11,-1
"Latah County, ID","County or equivalent",37244,70,68,116,48,3,14,-11,-1
"Moses Lake, WA","Micropolitan Statistical Area",89120,581,272,411,139,304,84,220,5
"Grant County, WA","County or equivalent",89120,581,272,411,139,304,84,220,5
"Moultrie, GA","Micropolitan Statistical Area",45498,20,81,182,101,-62,27,-89,1
"Colquitt County, GA","County or equivalent",45498,20,81,182,101,-62,27,-89,1
"Mountain Home, AR","Micropolitan Statistical Area",41513,14,-81,83,164,99,4,95,-4
"Baxter County, AR","County or equivalent",41513,14,-81,83,164,99,4,95,-4
"Mountain Home, ID","Micropolitan Statistical Area",27038,42,92,120,28,-52,35,-87,2
"Elmore County, ID","County or equivalent",27038,42,92,120,28,-52,35,-87,2
"Mount Airy, NC","Micropolitan Statistical Area",73673,43,-7,195,202,54,28,26,-4
"Surry County, NC","County or equivalent",73673,43,-7,195,202,54,28,26,-4
"Mount Pleasant, MI","Micropolitan Statistical Area",70311,4,78,179,101,-76,10,-86,2
"Isabella County, MI","County or equivalent",70311,4,78,179,101,-76,10,-86,2
"Mount Pleasant, TX","Micropolitan Statistical Area",32334,130,83,143,60,47,21,26,0
"Titus County, TX","County or equivalent",32334,130,83,143,60,47,21,26,0
"Mount Sterling, KY","Micropolitan Statistical Area",44396,73,34,146,112,41,3,38,-2
"Bath County, KY","County or equivalent",11591,33,6,39,33,27,0,27,0
"Menifee County, KY","County or equivalent",6306,8,0,12,12,9,0,9,-1
"Montgomery County, KY","County or equivalent",26499,32,28,95,67,5,3,2,-1
"Mount Vernon, IL","Micropolitan Statistical Area",47284,-36,-8,137,145,-26,5,-31,-2
"Hamilton County, IL","County or equivalent",8457,4,0,22,22,5,1,4,-1
"Jefferson County, IL","County or equivalent",38827,-40,-8,115,123,-31,4,-35,-1
"Mount Vernon, OH","Micropolitan Statistical Area",60921,95,37,187,150,59,2,57,-1
"Knox County, OH","County or equivalent",60921,95,37,187,150,59,2,57,-1
"Murray, KY","Micropolitan Statistical Area",37191,101,11,106,95,90,11,79,0
"Calloway County, KY","County or equivalent",37191,101,11,106,95,90,11,79,0
"Muscatine, IA","Micropolitan Statistical Area",54132,-26,70,172,102,-95,14,-109,-1
"Louisa County, IA","County or equivalent",11387,-13,8,32,24,-20,1,-21,-1
"Muscatine County, IA","County or equivalent",42745,-13,62,140,78,-75,13,-88,0
"Muskogee, OK","Micropolitan Statistical Area",70990,126,95,263,168,33,8,25,-2
"Muskogee County, OK","County or equivalent",70990,126,95,263,168,33,8,25,-2
"Nacogdoches, TX","Micropolitan Statistical Area",64524,127,102,227,125,27,31,-4,-2
"Nacogdoches County, TX","County or equivalent",64524,127,102,227,125,27,31,-4,-2
"Natchez, MS-LA","Micropolitan Statistical Area",53119,-35,-4,150,154,-31,7,-38,0
"Concordia Parish, LA","County or equivalent",20822,-1,9,60,51,-10,2,-12,0
"Adams County, MS","County or equivalent",32297,-34,-13,90,103,-21,5,-26,0
"Natchitoches, LA","Micropolitan Statistical Area",39566,30,46,128,82,-15,2,-17,-1
"Natchitoches Parish, LA","County or equivalent",39566,30,46,128,82,-15,2,-17,-1
"New Bern, NC","Micropolitan Statistical Area",126802,408,208,465,257,207,124,83,-7
"Craven County, NC","County or equivalent",103505,420,194,417,223,228,120,108,-2
"Jones County, NC","County or equivalent",10153,4,17,24,7,-11,4,-15,-2
"Pamlico County, NC","County or equivalent",13144,-16,-3,24,27,-10,0,-10,-3
"Newberry, SC","Micropolitan Statistical Area",37508,80,28,127,99,54,25,29,-2
"Newberry County, SC","County or equivalent",37508,80,28,127,99,54,25,29,-2
"New Castle, IN","Micropolitan Statistical Area",49462,42,-14,137,151,58,1,57,-2
"Henry County, IN","County or equivalent",49462,42,-14,137,151,58,1,57,-2
"New Castle, PA","Micropolitan Statistical Area",91108,-133,-47,237,284,-83,10,-93,-3
"Lawrence County, PA","County or equivalent",91108,-133,-47,237,284,-83,10,-93,-3
"New Iberia, LA","Micropolitan Statistical Area",73240,20,113,284,171,-93,10,-103,0
"Iberia Parish, LA","County or equivalent",73240,20,113,284,171,-93,10,-103,0
"New Philadelphia-Dover, OH","Micropolitan Statistical Area",92582,-13,37,276,239,-48,4,-52,-2
"Tuscarawas County, OH","County or equivalent",92582,-13,37,276,239,-48,4,-52,-2
"Newport, TN","Micropolitan Statistical Area",35662,-42,-15,94,109,-26,5,-31,-1
"Cocke County, TN","County or equivalent",35662,-42,-15,94,109,-26,5,-31,-1
"Newton, IA","Micropolitan Statistical Area",36842,-26,4,101,97,-27,3,-30,-3
"Jasper County, IA","County or equivalent",36842,-26,4,101,97,-27,3,-30,-3
"New Ulm, MN","Micropolitan Statistical Area",25893,-9,2,64,62,-10,1,-11,-1
"Brown County, MN","County or equivalent",25893,-9,2,64,62,-10,1,-11,-1
"Nogales, AZ","Micropolitan Statistical Area",47420,45,95,166,71,-53,58,-111,3
"Santa Cruz County, AZ","County or equivalent",47420,45,95,166,71,-53,58,-111,3
"Norfolk, NE","Micropolitan Statistical Area",48271,55,59,177,118,-1,20,-21,-3
"Madison County, NE","County or equivalent",34876,59,32,136,104,29,18,11,-2
"Pierce County, NE","County or equivalent",7266,-5,11,20,9,-15,1,-16,-1
"Stanton County, NE","County or equivalent",6129,1,16,21,5,-15,1,-16,0
"North Platte, NE","Micropolitan Statistical Area",37590,-22,14,105,91,-36,4,-40,0
"Lincoln County, NE","County or equivalent",36288,-27,14,104,90,-41,4,-45,0
"Logan County, NE","County or equivalent",763,4,-1,0,1,5,0,5,0
"McPherson County, NE","County or equivalent",539,1,1,1,0,0,0,0,0
"North Vernon, IN","Micropolitan Statistical Area",28525,-46,7,84,77,-54,1,-55,1
"Jennings County, IN","County or equivalent",28525,-46,7,84,77,-54,1,-55,1
"North Wilkesboro, NC","Micropolitan Statistical Area",69340,-53,-21,163,184,-30,19,-49,-2
"Wilkes County, NC","County or equivalent",69340,-53,-21,163,184,-30,19,-49,-2
"Norwalk, OH","Micropolitan Statistical Area",59626,-17,48,180,132,-66,9,-75,1
"Huron County, OH","County or equivalent",59626,-17,48,180,132,-66,9,-75,1
"Oak Harbor, WA","Micropolitan Statistical Area",78506,170,85,234,149,90,74,16,-5
"Island County, WA","County or equivalent",78506,170,85,234,149,90,74,16,-5
"Oak Hill, WV","Micropolitan Statistical Area",46039,-31,-17,144,161,-10,4,-14,-4
"Fayette County, WV","County or equivalent",46039,-31,-17,144,161,-10,4,-14,-4
"Ocean Pines, MD","Micropolitan Statistical Area",51454,10,-37,105,142,51,25,26,-4
"Worcester County, MD","County or equivalent",51454,10,-37,105,142,51,25,26,-4
"Ogdensburg-Massena, NY","Micropolitan Statistical Area",111944,-27,43,293,250,-68,8,-76,-2
"St. Lawrence County, NY","County or equivalent",111944,-27,43,293,250,-68,8,-76,-2
"Oil City, PA","Micropolitan Statistical Area",54984,-50,-24,142,166,-23,8,-31,-3
"Venango County, PA","County or equivalent",54984,-50,-24,142,166,-23,8,-31,-3
"Okeechobee, FL","Micropolitan Statistical Area",39996,47,41,135,94,9,39,-30,-3
"Okeechobee County, FL","County or equivalent",39996,47,41,135,94,9,39,-30,-3
"Olean, NY","Micropolitan Statistical Area",80317,-67,42,241,199,-106,3,-109,-3
"Cattaraugus County, NY","County or equivalent",80317,-67,42,241,199,-106,3,-109,-3
"Oneonta, NY","Micropolitan Statistical Area",62259,-32,-37,119,156,9,10,-1,-4
"Otsego County, NY","County or equivalent",62259,-32,-37,119,156,9,10,-1,-4
"Ontario, OR-ID","Micropolitan Statistical Area",53936,20,81,190,109,-62,20,-82,1
"Payette County, ID","County or equivalent",22623,12,36,79,43,-24,14,-38,0
"Malheur County, OR","County or equivalent",31313,8,45,111,66,-38,6,-44,1
"Opelousas-Eunice, LA","Micropolitan Statistical Area",83384,119,81,340,259,42,9,33,-4
"St. Landry Parish, LA","County or equivalent",83384,119,81,340,259,42,9,33,-4
"Orangeburg, SC","Micropolitan Statistical Area",92501,-156,52,319,267,-211,6,-217,3
